ptp,condition,hidden_pa_img_type,hidden_pa_img_row_number_across_blocks,border_dist_closest,counterbalancing,mouse_error_mean,mouse_error_sd,mouse_error_n,y_hat_three_param,y_hat_two_param
sub_023,no_schema,all_pa,1,all,cb1,155.35936534727867,101.73440912741806,6,142.80303857643196,142.754458799957
sub_023,no_schema,all_pa,2,1,cb1,72.69683678211177,NA,1,NA,NA
sub_023,no_schema,all_pa,2,2,cb1,28.174047943791507,NA,1,NA,NA
sub_023,no_schema,all_pa,2,3,cb1,161.71824771790583,108.27087493649506,2,NA,NA
sub_023,no_schema,all_pa,2,4,cb1,42.8599688670615,9.056887794965865,2,NA,NA
sub_023,no_schema,all_pa,2,all,cb1,85.00455298263965,78.11287937019009,6,122.19702954092611,122.15768437656386
sub_023,no_schema,all_pa,3,1,cb1,26.00033803866788,NA,1,NA,NA
sub_023,no_schema,all_pa,3,2,cb1,325.52632205789297,NA,1,NA,NA
sub_023,no_schema,all_pa,3,3,cb1,135.62275359866567,95.78985756355054,2,NA,NA
sub_023,no_schema,all_pa,3,4,cb1,75.55519380365627,71.86669661731675,2,NA,NA
sub_023,no_schema,all_pa,3,all,cb1,128.98042581686744,117.79003232088613,6,104.56439989128637,104.53263581178373
sub_023,no_schema,all_pa,4,1,cb1,32.80556474327184,NA,1,NA,NA
sub_023,no_schema,all_pa,4,2,cb1,5.827905072928222,NA,1,NA,NA
sub_023,no_schema,all_pa,4,3,cb1,149.54478989942464,10.387150826282538,2,NA,NA
sub_023,no_schema,all_pa,4,4,cb1,59.924417023989264,5.369200850370034,2,NA,NA
sub_023,no_schema,all_pa,4,all,cb1,76.26198061050465,60.432958787995425,6,89.47610075361109,89.45054914494916
sub_023,no_schema,all_pa,5,1,cb1,17.899513348831583,NA,1,NA,NA
sub_023,no_schema,all_pa,5,2,cb1,301.6011109106514,NA,1,NA,NA
sub_023,no_schema,all_pa,5,3,cb1,119.92072283277724,47.938631289832365,2,NA,NA
sub_023,no_schema,all_pa,5,4,cb1,41.29224004567035,2.032954284542286,2,NA,NA
sub_023,no_schema,all_pa,5,all,cb1,106.98775833606304,106.84534903918347,6,76.56499359651019,76.54452296352584
sub_023,no_schema,all_pa,6,1,cb1,35.76947131458613,NA,1,NA,NA
sub_023,no_schema,all_pa,6,2,cb1,32.24920700636005,NA,1,NA,NA
sub_023,no_schema,all_pa,6,3,cb1,120.10685408754918,50.017119337267005,2,NA,NA
sub_023,no_schema,all_pa,6,4,cb1,41.58470480949823,49.38306370523556,2,NA,NA
sub_023,no_schema,all_pa,6,all,cb1,65.23363268584016,52.9852673558094,6,65.51691677213819,65.5005928048522
sub_023,no_schema,all_pa,7,1,cb1,17.344453814548327,NA,1,NA,NA
sub_023,no_schema,all_pa,7,2,cb1,35.738356181266404,NA,1,NA,NA
sub_023,no_schema,all_pa,7,3,cb1,73.64258523429919,79.3388811014626,2,NA,NA
sub_023,no_schema,all_pa,7,4,cb1,47.65409411294294,5.357479132121298,2,NA,NA
sub_023,no_schema,all_pa,7,all,cb1,49.27936144838316,41.758769427791634,6,56.063041125997756,56.05009335326887
sub_023,no_schema,all_pa,8,1,cb1,14.69966251738454,NA,1,NA,NA
sub_023,no_schema,all_pa,8,2,cb1,45.185334761834646,NA,1,NA,NA
sub_023,no_schema,all_pa,8,3,cb1,34.83349475653417,7.0110848309712255,2,NA,NA
sub_023,no_schema,all_pa,8,4,cb1,43.459824500657604,17.066495329904278,2,NA,NA
sub_023,no_schema,all_pa,8,all,cb1,36.07860596560046,14.08884440721326,6,47.97332866712668,47.963122628066174
sub_024,schema_c,all_pa,1,1,cb5,356.0261630565201,NA,1,NA,NA
sub_024,schema_c,all_pa,1,2,cb5,325.52855106350773,NA,1,NA,NA
sub_024,schema_c,all_pa,1,3,cb5,95.2134264094328,88.69816001757853,2,NA,NA
sub_024,schema_c,all_pa,1,4,cb5,30.7878657854772,NA,2,NA,NA
sub_024,schema_c,all_pa,1,all,cb5,180.55388654487413,155.4601122582057,6,180.46446510107899,155.74800416589
sub_024,schema_c,all_pa,2,1,cb5,55.44476690822013,NA,1,NA,NA
sub_024,schema_c,all_pa,2,2,cb5,19.02814092938289,NA,1,NA,NA
sub_024,schema_c,all_pa,2,3,cb5,123.59518085584091,113.95237164496436,2,NA,NA
sub_024,schema_c,all_pa,2,4,cb5,45.52152885154123,32.95049834805086,2,NA,NA
sub_024,schema_c,all_pa,2,all,cb5,68.78438787539454,69.01489001196104,6,69.24701429797938,103.11399440644425
sub_024,schema_c,all_pa,3,1,cb5,50.93256647664132,NA,1,NA,NA
sub_024,schema_c,all_pa,3,2,cb5,57.588250634627535,NA,1,NA,NA
sub_024,schema_c,all_pa,3,3,cb5,22.59858959320548,7.344275008265795,2,NA,NA
sub_024,schema_c,all_pa,3,4,cb5,56.35228017131996,8.198806909436927,2,NA,NA
sub_024,schema_c,all_pa,3,all,cb5,44.403759440053285,17.74305553700859,6,45.00333980537721,68.26730075543925
sub_024,schema_c,all_pa,4,1,cb5,38.992662233488986,NA,1,NA,NA
sub_024,schema_c,all_pa,4,2,cb5,NA,NA,1,NA,NA
sub_024,schema_c,all_pa,4,3,cb5,31.93655033866085,17.397390906294383,2,NA,NA
sub_024,schema_c,all_pa,4,4,cb5,47.6293607351171,37.80499455773482,2,NA,NA
sub_024,schema_c,all_pa,4,all,cb5,39.62489687620898,22.241013762867343,6,39.71859583166557,45.196817165899034
sub_024,schema_c,all_pa,5,1,cb5,66.38168502736498,NA,1,NA,NA
sub_024,schema_c,all_pa,5,2,cb5,56.875689782792925,NA,1,NA,NA
